company_target,Question,Answer
Zhejiang Dahua Technology,When was Zhejiang Dahua Technology founded?,Zhejiang Dahua Technology was founded in 2001.
Zhejiang Dahua Technology,Where is Zhejiang Dahua Technology headquartered?,"Zhejiang Dahua Technology is headquartered in Hangzhou, China."
Zhejiang Dahua Technology,What is the size of Zhejiang Dahua Technology?,"Zhejiang Dahua Technology has 23,891 total employees."
Zhejiang Dahua Technology,What industry is Zhejiang Dahua Technology in?,Zhejiang Dahua Technology’s primary industry is Security Services (B2B).
Zhejiang Dahua Technology,Is Zhejiang Dahua Technology a private or public company?,Zhejiang Dahua Technology is a Public company.
Zhejiang Dahua Technology,What is Zhejiang Dahua Technology’s stock symbol?,The ticker symbol for Zhejiang Dahua Technology is 002236.
Zhejiang Dahua Technology,What is the current stock price of Zhejiang Dahua Technology?,As of 11-Jul-2025 the stock price of Zhejiang Dahua Technology is $2.23.
Zhejiang Dahua Technology,What is the current market cap of Zhejiang Dahua Technology?,The current market capitalization of Zhejiang Dahua Technology is $7.32B.
Zhejiang Dahua Technology,What is Zhejiang Dahua Technology’s current revenue?,The trailing twelve month revenue for Zhejiang Dahua Technology is $4.53B.
Zhejiang Dahua Technology,What is Zhejiang Dahua Technology’s annual earnings per share (EPS)?,Zhejiang Dahua Technology’s EPS for 12 months was $0.13.
